Country,Type,Number
Afghanistan,CR1,11
Afghanistan,DV1,2
Afghanistan,DV2,1
Afghanistan,F31,1
Afghanistan,F41,1
Afghanistan,FX1,6
Afghanistan,FX2,4
Afghanistan,FX3,4
Afghanistan,IR1,4
Afghanistan,IR2,4
Afghanistan,IR5,22
Afghanistan,SQ1,411
Afghanistan,SQ2,354
Afghanistan,SQ3,879
Albania,CR1,18
Albania,DV1,108
Albania,DV2,67
Albania,DV3,64
Albania,F11,3
Albania,F21,3
Albania,F24,3
Albania,F31,3
Albania,F32,2
Albania,F33,4
Albania,F41,16
Albania,F42,14
Albania,F43,19
Albania,FX1,3
Albania,FX2,2
Albania,FX3,3
Albania,IR1,5
Albania,IR2,1
Albania,IR5,86
Albania,SE1,5
Albania,SE2,5
Albania,SE3,7
Algeria,CR1,16
Algeria,CR2,1
Algeria,DV1,76
Algeria,DV2,28
Algeria,DV3,20
Algeria,F21,1
Algeria,F43,1
Algeria,FX1,5
Algeria,IR1,6
Algeria,IR2,2
Algeria,IR5,3
Algeria,SE1,1
Algeria,SE2,1
Algeria,SE3,2
Angola,F11,1
Angola,IR1,2
Antigua and Barbuda,F11,2
Antigua and Barbuda,F12,2
Antigua and Barbuda,F41,4
Antigua and Barbuda,F42,2
Antigua and Barbuda,F43,1
Antigua and Barbuda,IB3,2
Antigua and Barbuda,IR1,2
Antigua and Barbuda,IR2,5
Antigua and Barbuda,IR5,5
Argentina,CR1,9
Argentina,CR2,1
Argentina,E14,1
Argentina,F11,2
Argentina,F12,1
Argentina,F21,2
Argentina,F22,1
Argentina,FX2,1
Argentina,I51,1
Argentina,I52,1
Argentina,I53,2
Argentina,IR1,4
Argentina,IR2,2
Argentina,IR5,8
Argentina,SB1,1
Armenia,CR1,9
Armenia,DV1,104
Armenia,DV2,68
Armenia,DV3,110
Armenia,E11,2
Armenia,E14,1
Armenia,E15,1
Armenia,F11,2
Armenia,F21,4
Armenia,F22,6
Armenia,F24,4
Armenia,F33,1
Armenia,FX1,2
Armenia,FX2,1
Armenia,IR1,7
Armenia,IR2,1
Armenia,IR3,1
Armenia,IR5,39
Armenia,SE1,3
Armenia,SE2,3
Armenia,SE3,7
Aruba,F25,1
Aruba,IR5,1
Australia,CR1,7
Australia,DV1,18
Australia,DV2,5
Australia,DV3,4
Australia,E11,1
Australia,F43,3
Australia,IR1,17
Australia,IR2,7
Australia,SB1,1
Austria,DV1,2
Austria,DV2,1
Austria,E31,1
Austria,E35,1
Austria,F43,1
Austria,IR1,1
Azerbaijan,CR1,2
Azerbaijan,DV1,17
Azerbaijan,DV2,14
Azerbaijan,DV3,9
Azerbaijan,E21,1
Azerbaijan,E23,1
Azerbaijan,F21,1
Azerbaijan,F31,1
Azerbaijan,F32,1
Azerbaijan,F41,1
Azerbaijan,IR1,2
Azerbaijan,IR5,10
Bahamas,CR1,2
Bahamas,E31,1
Bahamas,FX2,1
Bahamas,IR1,3
Bahamas,IR2,2
Bahamas,IR5,9
Bahrain,CR1,1
Bahrain,IR1,1
Bahrain,IR5,1
Bangladesh,CR1,94
Bangladesh,F11,4
Bangladesh,F21,44
Bangladesh,F22,12
Bangladesh,F23,10
Bangladesh,F24,9
Bangladesh,F31,8
Bangladesh,F32,8
Bangladesh,F33,12
Bangladesh,F41,99
Bangladesh,F42,88
Bangladesh,F43,172
Bangladesh,FX1,28
Bangladesh,FX2,7
Bangladesh,FX3,12
Bangladesh,IR1,61
Bangladesh,IR2,23
Bangladesh,IR5,282
Bangladesh,SB1,1
Bangladesh,SE1,2
Bangladesh,SE2,2
Bangladesh,SE3,2
Barbados,CR2,1
Barbados,E31,1
Barbados,E34,1
Barbados,E35,2
Barbados,F11,2
Barbados,F21,1
Barbados,F33,1
Barbados,FX1,1
Barbados,FX2,2
Barbados,IR2,2
Barbados,IR5,4
Belarus,CR1,5
Belarus,DV1,51
Belarus,DV2,39
Belarus,DV3,29
Belarus,F21,1
Belarus,F31,1
Belarus,F41,2
Belarus,F42,1
Belarus,F43,2
Belarus,FX2,2
Belarus,IR1,1
Belarus,IR2,2
Belarus,IR5,12
Belgium,CR1,2
Belgium,DV1,1
Belgium,DV2,1
Belgium,DV3,1
Belgium,E11,1
Belgium,F11,1
Belgium,F12,2
Belgium,IR1,1
Belize,CR1,3
Belize,F24,1
Belize,F31,1
Belize,F32,1
Belize,F33,2
Belize,F43,1
Belize,IR1,8
Belize,IR2,7
Belize,IR5,2
Benin,CR1,3
Benin,DV1,14
Benin,DV2,2
Benin,DV3,1
Benin,F22,1
Benin,F41,1
Benin,F43,2
Benin,IR1,2
Benin,IR2,9
Bermuda,FX1,1
Bermuda,IR1,1
Bermuda,IR5,1
Bhutan,IR1,1
Bolivia,CR1,5
Bolivia,CR2,4
Bolivia,DV1,1
Bolivia,E35,2
Bolivia,F11,4
Bolivia,F21,4
Bolivia,F22,3
Bolivia,F23,3
Bolivia,F41,1
Bolivia,F43,2
Bolivia,IR1,7
Bolivia,IR2,4
Bolivia,IR5,19
Bosnia and Herzegovina,CR1,3
Bosnia and Herzegovina,DV1,1
Bosnia and Herzegovina,DV2,3
Bosnia and Herzegovina,F11,1
Bosnia and Herzegovina,F12,2
Bosnia and Herzegovina,F21,1
Bosnia and Herzegovina,F31,1
Bosnia and Herzegovina,F41,2
Bosnia and Herzegovina,F42,1
Bosnia and Herzegovina,F43,4
Bosnia and Herzegovina,FX1,1
Bosnia and Herzegovina,FX2,1
Bosnia and Herzegovina,IR1,1
Bosnia and Herzegovina,IR5,1
Botswana,E34,1
Brazil,CR1,37
Brazil,CR2,5
Brazil,E11,2
Brazil,E14,2
Brazil,E15,4
Brazil,E31,2
Brazil,E32,1
Brazil,E34,1
Brazil,E35,1
Brazil,F11,6
Brazil,F12,5
Brazil,F24,6
Brazil,F25,3
Brazil,F31,1
Brazil,F32,1
Brazil,F33,2
Brazil,F41,5
Brazil,F42,3
Brazil,F43,2
Brazil,FX1,5
Brazil,FX2,4
Brazil,FX3,2
Brazil,IB2,1
Brazil,IH3,3
Brazil,IR1,107
Brazil,IR2,41
Brazil,IR5,57
Brazil,IW1,1
Brazil,SB1,3
